timestamp,date,time,symbol,option_type,strike,price,prev_price,price_change,price_change_pct,day_open,day_high,day_low,change_from_open,change_from_open_pct,dist_from_day_high,dist_from_day_low,nifty_spot,minutes_since_open,minutes_to_close,hour,minute,is_morning,is_midday,is_afternoon,move_1min,move_5min,move_15min,rsi,vwap,above_vwap,ema_bull,ema_bear,atr,adx,is_trending,vol_surge,pattern,candle_range,body_pct,is_bull_candle,is_bear_candle,big_move_up,big_move_down,medium_move_up,medium_move_down,move_in_next_1min,move_in_next_5min
2026-07-21T13:27:48.512557,2026-07-21,13:27:48,NIFTY21JUL2624150PE,PE,24150.0,16.05,17.05,-1.0,-5.8651,24.85,39.85,15.15,-8.8,-35.4125,23.8,0.9,24169.2,252,123,13,27,False,False,True,-1.1,-3.25,-8.35,38.67,,False,False,True,5.41,26.64,True,True,Marubozu Bear,3.0,0.98,False,True,False,False,False,False,0.0,-2.25
2026-07-21T13:28:14.468198,2026-07-21,13:28:14,NIFTY21JUL2624150PE,PE,24150.0,15.9,16.05,-0.15,-0.9346,24.85,39.85,15.15,-8.95,-36.0161,23.95,0.75,24172.3,253,122,13,28,False,False,True,-1.0,-3.3,-11.35,38.52,,False,False,True,5.42,26.68,True,True,Marubozu Bear,3.1,1.0,False,True,False,False,False,False,0.0,-2.1
2026-07-21T13:28:40.405629,2026-07-21,13:28:40,NIFTY21JUL2624150PE,PE,24150.0,15.9,15.9,0.0,0.0,24.85,39.85,15.15,-8.95,-36.0161,23.95,0.75,24171.2,253,122,13,28,False,False,True,-0.15,-4.4,-9.7,38.52,,False,False,True,5.42,26.68,True,True,Marubozu Bear,3.1,1.0,False,True,False,False,False,False,0.85,-3.1
2026-07-21T13:29:06.687804,2026-07-21,13:29:06,NIFTY21JUL2624150PE,PE,24150.0,15.55,15.9,-0.35,-2.2013,24.85,39.85,15.15,-9.3,-37.4245,24.3,0.4,24171.15,254,121,13,29,False,False,True,0.0,-4.45,-9.9,38.17,,False,False,True,5.47,26.84,True,True,Marubozu Bear,3.45,1.0,False,True,False,False,False,False,1.2,-2.75
2026-07-21T13:29:32.639304,2026-07-21,13:29:32,NIFTY21JUL2624150PE,PE,24150.0,16.75,15.55,1.2,7.717,24.85,39.85,15.15,-8.1,-32.5956,23.1,1.6,24168.0,254,121,13,29,False,False,True,-0.35,-3.2,-12.25,39.39,,False,False,True,5.47,26.84,True,True,,3.45,0.65,False,True,False,False,False,False,0.1,-3.95
2026-07-21T13:29:58.570069,2026-07-21,13:29:58,NIFTY21JUL2624150PE,PE,24150.0,16.2,16.75,-0.55,-3.2836,24.85,39.85,15.15,-8.65,-34.8089,23.65,1.05,24171.15,254,121,13,29,False,False,True,1.2,-2.25,-10.15,38.82,,False,False,True,5.47,26.84,True,True,,3.45,0.81,False,True,False,False,False,False,1.0,-3.95
2026-07-21T13:30:24.863325,2026-07-21,13:30:24,NIFTY21JUL2624150PE,PE,24150.0,16.85,16.2,0.65,4.0123,24.85,39.85,15.15,-8.0,-32.1932,23.0,1.7,24174.0,255,120,13,30,False,False,True,-0.55,-1.25,-12.3,41.72,,False,False,True,4.83,24.99,True,True,,,,False,False,False,False,False,False,0.35,-5.15
2026-07-21T13:30:50.813000,2026-07-21,13:30:50,NIFTY21JUL2624150PE,PE,24150.0,17.2,16.85,0.35,2.0772,24.85,39.85,15.15,-7.65,-30.7847,22.65,2.05,24171.95,255,120,13,30,False,False,True,0.65,0.85,-11.65,42.27,,False,False,True,4.88,24.99,True,True,Marubozu Bull,0.35,1.0,True,False,False,False,False,False,0.0,-5.9
2026-07-21T13:31:16.751410,2026-07-21,13:31:16,NIFTY21JUL2624150PE,PE,24150.0,15.35,17.2,-1.85,-10.7558,24.85,39.85,15.15,-9.5,-38.2294,24.5,0.2,24172.0,256,119,13,31,False,False,True,0.35,0.8,-10.95,39.76,,False,False,True,4.99,25.1,True,True,3 Crows,1.85,0.81,False,True,False,False,False,False,0.0,-4.05
2026-07-21T13:31:42.702029,2026-07-21,13:31:42,NIFTY21JUL2624150PE,PE,24150.0,15.2,15.35,-0.15,-0.9772,24.85,39.85,15.15,-9.65,-38.833,24.65,0.05,24174.5,256,119,13,31,False,False,True,-1.85,-2.8,-13.65,39.6,,False,False,True,5.01,25.18,True,True,3 Crows,2.0,0.83,False,True,False,False,False,False,0.0,-4.55
2026-07-21T13:32:08.841515,2026-07-21,13:32:08,NIFTY21JUL2624150PE,PE,24150.0,13.8,15.2,-1.4,-9.2105,24.85,39.85,13.8,-11.05,-44.4668,26.05,0.0,24174.7,257,118,13,32,False,False,True,-0.15,-1.85,-12.7,38.17,,False,False,True,5.2,25.84,True,True,3 Crows,3.4,0.9,False,True,False,False,False,False,1.25,-3.15
2026-07-21T13:32:34.788773,2026-07-21,13:32:34,NIFTY21JUL2624150PE,PE,24150.0,15.05,13.8,1.25,9.058,24.85,39.85,13.8,-9.8,-39.4366,24.8,1.25,24174.55,257,118,13,32,False,False,True,-1.4,-2.25,-14.95,39.44,,False,False,True,5.2,25.84,True,True,3 Crows,3.4,0.53,False,True,False,False,False,False,0.0,-4.9
2026-07-21T13:33:00.742639,2026-07-21,13:33:00,NIFTY21JUL2624150PE,PE,24150.0,14.55,15.05,-0.5,-3.3223,24.85,39.85,13.8,-10.3,-41.4487,25.3,0.75,24175.1,258,117,13,33,False,False,True,1.25,-0.85,-11.95,38.93,,False,False,True,5.2,25.84,True,True,3 Crows,3.4,0.68,False,True,False,False,False,False,0.0,-4.4
2026-07-21T13:33:26.860059,2026-07-21,13:33:26,NIFTY21JUL2624150PE,PE,24150.0,12.8,14.55,-1.75,-12.0275,24.85,39.85,12.8,-12.05,-48.4909,27.05,0.0,24178.7,258,117,13,33,False,False,True,-0.5,-1.35,-11.6,37.22,,False,False,True,5.33,26.28,True,True,3 Crows,4.4,0.92,False,True,False,False,False,False,1.25,-2.65
2026-07-21T13:33:52.786063,2026-07-21,13:33:52,NIFTY21JUL2624150PE,PE,24150.0,14.05,12.8,1.25,9.7656,24.85,39.85,12.8,-10.8,-43.4608,25.8,1.25,24178.55,258,117,13,33,False,False,True,-1.75,-2.75,-12.55,38.42,,False,False,True,5.33,26.28,True,True,3 Crows,4.4,0.64,False,True,False,False,False,False,0.0,-3.9
